Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,0.61,0.9099999999999999,0.28127796355200774
100% Corpus,4,0.61,symmetric,0.27788335444705564
100% Corpus,4,0.9099999999999999,0.01,0.2800895694826781
100% Corpus,4,0.9099999999999999,0.31,0.27070031036229536
100% Corpus,4,0.9099999999999999,0.61,0.28165600902262106
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.28127796355200774
100% Corpus,4,0.9099999999999999,symmetric,0.28557149643139645
100% Corpus,4,symmetric,0.01,0.27803450959448595
100% Corpus,4,symmetric,0.31,0.27070031036229536
100% Corpus,4,symmetric,0.61,0.28165600902262106
100% Corpus,4,symmetric,0.9099999999999999,0.2785971443082139
100% Corpus,4,symmetric,symmetric,0.2778833544470557
100% Corpus,4,asymmetric,0.01,0.27803450959448595
100% Corpus,4,asymmetric,0.31,0.27226547542354285
100% Corpus,4,asymmetric,0.61,0.2845762535594549
100% Corpus,4,asymmetric,0.9099999999999999,0.27932592281646557
100% Corpus,4,asymmetric,symmetric,0.28303525293837184
100% Corpus,5,0.01,0.01,0.2522916861484519
100% Corpus,5,0.01,0.31,0.2651446120727065
100% Corpus,5,0.01,0.61,0.2698736299478108
100% Corpus,5,0.01,0.9099999999999999,0.2908994179070039
100% Corpus,5,0.01,symmetric,0.2616383692859668
100% Corpus,5,0.31,0.01,0.2522916861484519
100% Corpus,5,0.31,0.31,0.27000812390005574
100% Corpus,5,0.31,0.61,0.27057736932390564
100% Corpus,5,0.31,0.9099999999999999,0.2965962395803151
100% Corpus,5,0.31,symmetric,0.26163836928596673
100% Corpus,5,0.61,0.01,0.25490777626249644
100% Corpus,5,0.61,0.31,0.27032263158234937
100% Corpus,5,0.61,0.61,0.2703904461272435
100% Corpus,5,0.61,0.9099999999999999,0.29406946219598457
100% Corpus,5,0.61,symmetric,0.2628542218384985
100% Corpus,5,0.9099999999999999,0.01,0.25464514653668396
100% Corpus,5,0.9099999999999999,0.31,0.26899817197746134
100% Corpus,5,0.9099999999999999,0.61,0.27199391872635925
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.29752348754298735
100% Corpus,5,0.9099999999999999,symmetric,0.2628542218384985
100% Corpus,5,symmetric,0.01,0.2522916861484519
100% Corpus,5,symmetric,0.31,0.26663504801977533
100% Corpus,5,symmetric,0.61,0.27057736932390564
100% Corpus,5,symmetric,0.9099999999999999,0.2965962395803151
100% Corpus,5,symmetric,symmetric,0.26163836928596673
100% Corpus,5,asymmetric,0.01,0.2529747963926483
100% Corpus,5,asymmetric,0.31,0.266949555702069
100% Corpus,5,asymmetric,0.61,0.2696867067511486
100% Corpus,5,asymmetric,0.9099999999999999,0.2880166033429462
100% Corpus,5,asymmetric,symmetric,0.2599072775542628
100% Corpus,6,0.01,0.01,0.2691475582564218
100% Corpus,6,0.01,0.31,0.2572332121370647
100% Corpus,6,0.01,0.61,0.28303204800066806
100% Corpus,6,0.01,0.9099999999999999,0.2650268882834928
100% Corpus,6,0.01,symmetric,0.26480704120388526
100% Corpus,6,0.31,0.01,0.2658686938443044
100% Corpus,6,0.31,0.31,0.2652380886795492
100% Corpus,6,0.31,0.61,0.28080612530805565
100% Corpus,6,0.31,0.9099999999999999,0.26330989461507315
100% Corpus,6,0.31,symmetric,0.26661525424468946
100% Corpus,6,0.61,0.01,0.26505113269369873
100% Corpus,6,0.61,0.31,0.2652380886795492
100% Corpus,6,0.61,0.61,0.2808061253080556
100% Corpus,6,0.61,0.9099999999999999,0.26288398770160076
100% Corpus,6,0.61,symmetric,0.2709851954513302
100% Corpus,6,0.9099999999999999,0.01,0.2597278834185865
100% Corpus,6,0.9099999999999999,0.31,0.2676649517003746
100% Corpus,6,0.9099999999999999,0.61,0.28243647269001576
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.267957984556238
100% Corpus,6,0.9099999999999999,symmetric,0.2737696151339008
100% Corpus,6,symmetric,0.01,0.2691475582564218
100% Corpus,6,symmetric,0.31,0.2613825990710725
100% Corpus,6,symmetric,0.61,0.28211229411756605
100% Corpus,6,symmetric,0.9099999999999999,0.2600117598546556
100% Corpus,6,symmetric,symmetric,0.26480704120388526
100% Corpus,6,asymmetric,0.01,0.2671845024364614
100% Corpus,6,asymmetric,0.31,0.26076775941876035
100% Corpus,6,asymmetric,0.61,0.282313318661795
100% Corpus,6,asymmetric,0.9099999999999999,0.2524180741006753
100% Corpus,6,asymmetric,symmetric,0.26712126409850157
100% Corpus,7,0.01,0.01,0.2723667929308437
100% Corpus,7,0.01,0.31,0.2673086859982909
100% Corpus,7,0.01,0.61,0.2802940813168614
100% Corpus,7,0.01,0.9099999999999999,0.27976617729495673
100% Corpus,7,0.01,symmetric,0.2761265677325534
100% Corpus,7,0.31,0.01,0.2723667929308437
100% Corpus,7,0.31,0.31,0.26528278470176286
100% Corpus,7,0.31,0.61,0.28082562768299285
100% Corpus,7,0.31,0.9099999999999999,0.28081057150056227
100% Corpus,7,0.31,symmetric,0.277202115337583
100% Corpus,7,0.61,0.01,0.2723667929308437
100% Corpus,7,0.61,0.31,0.2711222886326238
100% Corpus,7,0.61,0.61,0.27715257616773414
100% Corpus,7,0.61,0.9099999999999999,0.2844772474042268
100% Corpus,7,0.61,symmetric,0.27724471283532803
100% Corpus,7,0.9099999999999999,0.01,0.2723667929308437
